date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:56	41045/41045	---M-Z	200	added ('OK')	text/css	etag:%22a055-5a7c604ae7ad1-gzip%22	https://bootcamp.lv/wp-includes/css/dist/block-library/style.min.css	C:/drage/bootcampjs/bootcamp.lv/wp-includes/css/dist/block-library/style.min.css	(from https://bootcamp.lv/)
21:45:56	6191/6191	---M-Z	200	added ('OK')	text/css	etag:%22182f-59c42b57b129c-gzip%22	https://bootcamp.lv/wp-content/plugins/cookie-notice/css/front.min.css	C:/drage/bootcampjs/bootcamp.lv/wp-content/plugins/cookie-notice/css/front.min.css	(from https://bootcamp.lv/)
21:45:56	36234/36234	---M-Z	200	added ('OK')	text/css	etag:%228d8a-5a8e89196a000-gzip%22	https://bootcamp.lv/wp-content/themes/accenture-bootcamp/styles/main.css	C:/drage/bootcampjs/bootcamp.lv/wp-content/themes/accenture-bootcamp/styles/main.css	(from https://bootcamp.lv/)
21:45:56	8165/8165	---M-Z	200	added ('OK')	application/javascript	etag:%221fe5-59c42b57b02fc-gzip%22	https://bootcamp.lv/wp-content/plugins/cookie-notice/js/front.min.js	C:/drage/bootcampjs/bootcamp.lv/wp-content/plugins/cookie-notice/js/front.min.js	(from https://bootcamp.lv/)
21:45:57	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cca0c33-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/drage/bootcampjs/code.jquery.com/jquery-3.4.1.min.js	(from https://bootcamp.lv/)
21:45:58	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2259caf3e6-2c9d%22	https://code.jquery.com/jquery-migrate-3.0.1.min.js	C:/drage/bootcampjs/code.jquery.com/jquery-migrate-3.0.1.min.js	(from https://bootcamp.lv/)
21:45:58	76521/76521	---MC-	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:45:59%20GMT	https://bootcamp.lv/index.php?rest_route=/	C:/drage/bootcampjs/bootcamp.lv/index52f0.json	(from https://bootcamp.lv/)
21:45:58	794/794	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:45:59%20GMT	https://bootcamp.lv/xmlrpc.php?rsd	C:/drage/bootcampjs/bootcamp.lv/xmlrpc0db0.php	(from https://bootcamp.lv/)
21:45:58	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-57c57fb927965-gzip%22	https://bootcamp.lv/wp-includes/wlwmanifest.xml	C:/drage/bootcampjs/bootcamp.lv/wp-includes/wlwmanifest.xml	(from https://bootcamp.lv/)
21:45:58	823/823	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:45:59%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F	C:/drage/bootcampjs/bootcamp.lv/index22e4.json	(from https://bootcamp.lv/)
